,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,17250,,,2138.89,,9.6902,0.2266,2020-12-17 08:00:00,2020-12-16 04:50:38.665Z,0,0,19380.33,deribit
1,17500,,,1889.6021,,9.6902,0.818,2020-12-17 08:00:00,2020-12-16 04:50:38.665Z,0,0,19380.33,deribit
2,17750,,,1641.4767,,19.3803,2.572,2020-12-17 08:00:00,2020-12-16 04:50:38.665Z,0,0,19380.33,deribit
3,18000,,,1396.1264,,19.3803,7.101,2020-12-17 08:00:00,2020-12-16 04:50:38.665Z,0,0,19380.33,deribit
4,18250,,,1156.5425,9.6902,29.0705,17.3962,2020-12-17 08:00:00,2020-12-16 04:50:38.665Z,0,0,19380.33,deribit
5,18500,,,916.6757,19.3803,38.7607,27.4084,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
6,18750,,,688.7118,38.7607,58.141,49.3239,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
7,19000,358.5361,678.3116,489.5956,77.5213,106.5918,100.087,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
8,19250,300.3951,358.5361,324.3674,155.0426,184.1131,184.738,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
9,19500,184.1131,222.8738,202.7692,271.3246,319.7754,313.0191,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
10,19750,116.282,145.3525,131.2585,,,491.3875,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
11,20000,67.8312,96.9017,84.2798,,,694.2881,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
12,20250,48.4508,77.5213,60.4428,,,920.3302,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
13,20500,29.0705,58.141,41.8169,,,1151.5837,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
14,20750,19.3803,38.7607,28.2499,,,1387.8958,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
15,21000,9.6902,29.0705,17.9962,,,1627.5214,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit
16,21250,,19.3803,9.8514,,,1869.2557,2020-12-17 08:00:00,2020-12-16 04:50:38.666Z,0,0,19380.33,deribit

