,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,18250,,,9.6895,29.0686,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
1,18500,,,9.6895,38.7582,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
2,18750,,,19.3791,38.7582,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
3,19000,862.3691,,9.6895,38.7582,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
4,19250,155.0326,174.4117,19.3791,48.4477,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
5,19500,29.0686,48.4477,145.3431,174.4117,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
6,19750,9.6895,29.0686,,,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
7,20000,,29.0686,,,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
8,20250,,19.3791,,,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit
9,20500,,19.3791,,,2020-12-16 08:00:00,2020-12-16 04:49:30,0,0,19379.08,bit

