,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,17250,2064.1231,2228.8654,,19.3814,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
1,17500,1802.4737,1967.216,NaN,NaN,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
2,17750,1560.2058,1734.6387,,19.3814,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
3,18000,1308.2471,1492.3707,,19.3814,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
4,18250,1065.9791,1240.412,9.6907,29.0722,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
5,18500,833.4018,998.1441,19.3814,48.4536,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
6,18750,649.2782,726.8039,38.7629,67.835,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
7,19000,455.4638,513.6081,77.5258,106.5979,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
8,19250,300.4123,339.1752,155.0515,193.8144,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
9,19500,184.1237,222.8865,290.7216,329.4844,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
10,19750,116.2886,145.3608,465.1545,523.2988,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
11,20000,77.5258,106.5979,668.6596,736.4946,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
12,20250,48.4536,77.5258,881.8554,959.3812,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
13,20500,29.0722,58.1443,1114.4327,1191.9584,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
14,20750,19.3814,48.4536,1298.5563,1482.68,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
15,21000,9.6907,29.0722,1531.1336,1724.948,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex
16,21250,,29.0722,1773.4016,1967.216,2020-12-17 08:00:00,2020-12-16 04:50:54,0,0,19381.438,okex

