,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,10000,,,251.9174,271.2956,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
1,11000,,,300.363,319.7413,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
2,12000,,,339.1196,358.4978,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
3,13000,,,377.8761,406.9435,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
4,14000,,,406.9435,436.0108,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
5,15000,,,426.3217,445.7,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
6,16000,,,406.9435,426.3217,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
7,17000,,,319.7413,339.1196,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
8,18000,1579.3282,1753.7325,271.2956,300.363,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
9,18500,1182.0739,1385.5456,310.0522,348.8087,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
10,19000,823.5761,872.0217,416.6326,465.0782,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
11,19500,552.2804,581.3478,629.7935,687.9282,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
12,20000,368.1869,416.6326,930.1565,1162.6956,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
13,20500,300.363,329.4304,1308.0325,1521.1934,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
14,21000,271.2956,300.363,1744.0434,1937.826,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
15,21500,271.2956,290.6739,2189.7434,2364.1477,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
16,22000,261.6065,280.9848,2664.5108,2819.5368,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
17,23000,232.5391,261.6065,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
18,24000,213.1609,242.2283,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
19,26000,174.4043,193.7826,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
20,28000,135.6478,155.0261,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
21,3000,,,19.3783,38.7565,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
22,32000,87.2022,106.5804,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
23,36000,58.1348,77.513,,,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
24,4000,,,38.7565,58.1348,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
25,5000,,,67.8239,87.2022,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
26,6000,,,96.8913,116.2696,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
27,7000,,,135.6478,155.0261,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
28,8000,,,164.7152,193.7826,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit
29,9000,,,213.1609,232.5391,2020-12-25 08:00:00,2020-12-16 04:50:13,0,0,19378.26,bit

