,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,10000,9332.6352,9516.7682,,19.3824,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
1,11000,8334.4406,8518.5736,,19.3824,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
2,12000,7355.6284,7549.4526,9.6912,19.3824,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
3,13000,6357.4338,6551.258,,29.0736,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
4,14000,5368.9303,5572.4457,29.0736,38.7648,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
5,15000,4380.4269,4603.3248,48.4561,67.8385,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
6,16000,3420.9971,3595.4389,77.5297,87.2209,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
7,16500,2946.1278,3110.8784,77.5297,106.6033,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
8,16750,2703.8476,2878.2894,87.2209,116.2945,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
9,17000,2519.7146,2597.2443,106.6033,135.6769,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
10,17250,2287.1256,2364.6552,116.2945,145.3681,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
11,17500,2064.2277,2132.0662,135.6769,164.7506,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
12,17750,1841.3299,1909.1684,164.7506,193.8242,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
13,18000,1628.1233,1695.9617,203.5154,232.589,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
14,18250,1434.2991,1492.4463,251.9715,281.0451,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
15,18500,1240.4749,1298.6221,310.1187,339.1923,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
16,18750,1085.4155,1124.1804,387.6484,416.722,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
17,19000,930.3562,969.121,484.5605,513.6341,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
18,19250,794.6792,833.4441,620.2374,629.9286,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
19,19500,688.0759,717.1495,726.8408,765.6056,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
20,2000,17298.8098,17482.9428,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
21,20000,503.9429,542.7078,1046.6507,1085.4155,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
22,21000,310.1187,319.8099,1802.5651,1870.4035,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
23,22000,184.133,203.5154,2684.4652,2771.6861,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
24,23000,116.2945,135.6769,3614.8213,3711.7334,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
25,24000,67.8385,96.9121,4506.4127,4719.6193,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
26,25000,38.7648,67.8385,5465.8424,5698.4315,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
27,3000,16300.6152,16484.7482,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
28,30000,,19.3824,10369.5947,10650.6398,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
29,35000,,9.6912,15370.2591,15573.7745,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
30,4000,15302.4206,15486.5536,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
31,5000,14313.9172,14498.0502,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
32,6000,13315.7225,13499.8555,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
33,7000,12317.5279,12501.6609,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
34,8000,11319.3333,11503.4663,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex
35,9000,10321.1386,10505.2716,,9.6912,2020-12-25 08:00:00,2020-12-16 04:51:26,0,0,19382.42,okex

