,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,18250,,,29.0679,58.1357,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
1,18500,,,38.7572,58.1357,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
2,18750,668.561,717.0075,48.4465,77.5143,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
3,19000,465.0859,523.2217,87.2036,125.9608,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
4,19250,290.6787,339.1252,155.0286,203.4751,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
5,19500,164.7179,213.1644,271.3001,329.4359,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
6,19750,87.2036,125.9608,455.3966,513.5324,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
7,20000,58.1357,77.5143,668.561,726.6968,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
8,20250,38.7572,58.1357,,,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit
9,20500,38.7572,58.1357,,,2020-12-17 08:00:00,2020-12-16 04:49:38,0,0,19378.58,bit

