,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,3000,16270.1732,16541.5043,16392.4792,,9.6904,,2020-12-25 08:00:00,2020-12-16 04:50:41.624Z,0,0,19380.79,deribit
1,4000,15281.7529,15407.7281,15396.3325,,9.6904,,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
2,5000,14283.6422,14545.2829,14400.2181,,9.6904,,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
3,6000,13266.1508,13585.9338,13404.1681,,9.6904,,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
4,7000,12238.9689,12616.8943,12407.9897,,9.6904,0.0006,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
5,8000,11231.1678,11454.0469,11411.9714,,9.6904,0.0105,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
6,9000,10242.7475,10465.6266,10415.8777,,9.6904,0.1171,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
7,10000,9273.708,9477.2063,9420.5611,,9.6904,0.8074,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
8,11000,8178.6934,8479.0956,8427.5053,,19.3808,3.8552,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
9,12000,7393.7714,7500.3657,7441.2754,9.6904,19.3808,13.8559,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
10,13000,6405.3511,6521.6358,6445.1552,9.6904,19.3808,13.8522,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
11,14000,5407.2404,5533.2155,5459.5249,19.3808,29.0712,24.1857,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
12,15000,4399.4393,4990.5534,4476.9274,29.0712,48.452,37.692,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
13,16000,3449.7806,3556.375,3512.5399,58.1424,77.5232,69.5668,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
14,17000,2354.766,2800.5242,2556.8669,96.904,125.9751,109.9988,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
15,18000,1608.6056,1734.5807,1662.2198,203.4983,222.8791,211.3384,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
16,18500,1162.8474,1453.5593,1273.1094,300.4022,339.1638,320.2365,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
17,19000,901.2067,969.0395,951.2708,474.8294,494.2101,496.413,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
18,19500,668.6373,707.3988,688.2248,717.0892,755.8508,731.4556,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
19,20000,494.2101,523.2813,507.7986,998.1107,1075.6338,1049.0455,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
20,20500,368.235,397.3062,382.5844,1259.7514,1569.844,1421.8918,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
21,21000,281.0215,300.4022,291.2576,1569.844,1947.7694,1828.6932,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
22,21500,213.1887,242.2599,230.0029,1763.6519,2354.766,2265.6206,2020-12-25 08:00:00,2020-12-16 04:50:41.625Z,0,0,19380.79,deribit
23,22000,164.7367,203.4983,184.9803,2219.1005,2829.5953,2718.707,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
24,23000,116.2847,135.6655,125.6999,3120.3072,3769.5637,3655.2935,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
25,24000,67.8328,96.904,82.141,3701.7309,4719.2224,4607.8526,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
26,25000,38.7616,58.1424,48.1483,,5736.7138,5570.2179,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
27,26000,29.0712,38.7616,33.8842,5407.2404,10048.9396,6551.7889,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
28,27000,19.3808,38.7616,28.1504,,,7542.4439,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
29,28000,9.6904,29.0712,17.722,7306.5578,9796.9893,8527.8337,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
30,32000,,9.6904,1.4134,11609.0932,12820.3926,12495.9397,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit
31,36000,,9.6904,0.0944,174.4271,16880.6681,16479.0353,2020-12-25 08:00:00,2020-12-16 04:50:41.626Z,0,0,19380.79,deribit

