,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,17000,2296.6175,2461.3537,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
1,17250,2044.6679,2209.4041,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
2,17500,1821.7894,1947.7642,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
3,17750,1569.8398,1724.8857,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
4,18000,1308.1998,1472.9361,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
5,18250,1046.5599,1211.2961,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
6,18500,794.6103,959.3465,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
7,18750,542.6607,697.7066,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
8,19000,300.4014,474.8281,,19.3807,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
9,19250,135.6652,193.8074,9.6904,48.4518,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
10,19500,29.0711,58.1422,125.9748,184.117,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
11,19750,,19.3807,290.7111,465.1377,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
12,20000,,19.3807,523.2799,707.3969,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
13,20250,,19.3807,775.2295,959.3465,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
14,20500,,19.3807,1027.1791,1191.9154,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
15,20750,,19.3807,1288.8191,1453.5554,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex
16,21000,,19.3807,1540.7687,1705.5049,2020-12-16 08:00:00,2020-12-16 04:50:42,0,0,19380.738,okex

