,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,17250,,,2131.2605,,9.6902,,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
1,17500,,,1881.2736,,9.6902,,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
2,17750,,,1631.2868,,9.6902,,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
3,18000,,,1381.2997,,9.6902,,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
4,18250,,,1131.3151,,9.6902,0.0023,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
5,18500,,,881.412,,9.6902,0.0862,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
6,18750,,,632.8211,,9.6902,1.4822,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
7,19000,9.6902,,394.3109,9.6902,19.3804,12.9591,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
8,19250,125.9723,184.1134,162.3663,9.6902,38.7607,31.0014,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
9,19500,29.0705,48.4509,37.4184,125.9723,184.1134,156.0404,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
10,19750,,19.3804,3.7435,116.2822,,372.3523,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
11,20000,,9.6902,0.1444,,,618.7401,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
12,20250,,9.6902,0.0021,,,868.5849,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
13,20500,,9.6902,,,,1118.5696,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
14,20750,,9.6902,,,,1368.5567,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit
15,21000,,9.6902,,,,1618.5436,2020-12-16 08:00:00,2020-12-16 04:50:37.207Z,0,0,19380.36,deribit

