,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,18000,,1190.002,,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
1,18250,,940.4854,,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
2,18500,,690.9689,,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
3,18750,,441.4523,,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
4,19000,,191.9358,,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
5,19250,,,57.5807,67.1775,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
6,19500,,,307.0973,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
7,19750,,,556.6138,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
8,20000,,,806.1304,,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
9,20250,,,,1055.6469,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit
10,20500,,,,1305.1634,2020-12-15 08:00:00,2020-12-15 07:48:28,0,0,19193.58,bit

