,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,13250,,,5967.0653,,9.5982,0.0305,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
1,13500,,,5717.4917,,9.5982,0.0672,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
2,13750,,,5467.956,,9.5982,0.1417,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
3,14000,,,5218.49,,9.5982,0.286,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
4,14250,,,4969.1479,,9.5982,0.5542,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
5,14500,,,4720.0157,,9.5982,1.0324,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
6,14750,,,4471.2262,,19.1964,1.853,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
7,15000,,,4222.9738,,19.1964,3.211,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
8,15250,,,3975.5323,,9.5982,5.3798,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
9,15500,,,3729.2708,,19.1964,8.7286,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
10,15750,,,3484.6701,9.5982,19.1964,13.7383,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
11,16000,3042.6262,3656.9104,3235.0617,9.5982,19.1964,13.74,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
12,16250,2793.0733,3148.2063,2989.215,9.5982,28.7946,17.5036,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
13,16500,2543.5204,3177.0009,2741.6247,9.5982,28.7946,19.5235,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
14,16750,2418.7439,2601.1095,2500.0793,19.1964,38.3928,27.5885,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
15,17000,2178.7891,2380.3511,2250.559,19.1964,38.3928,27.6785,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
16,17250,1919.638,2140.3964,2010.717,28.7946,47.991,37.4468,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
17,17500,1679.6833,1881.2452,1760.9957,28.7946,47.991,37.3358,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
18,17750,1468.5231,1622.0941,1521.1991,38.3928,57.5891,47.1494,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
19,18000,1199.7738,1391.7376,1281.5634,47.991,67.1873,57.124,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
20,18250,988.6136,1170.9792,1057.8862,76.7855,86.3837,83.0572,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
21,18500,767.8552,940.6226,852.8401,105.5801,134.3747,127.6214,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
22,18750,595.0878,777.4534,665.9247,153.571,191.9638,190.3164,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
23,19000,489.5077,575.8914,506.9111,239.9548,278.3475,280.9131,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
24,19250,374.3294,422.3204,373.8476,355.133,393.5258,397.4595,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
25,19500,287.9457,316.7403,303.2297,489.5077,547.0968,576.4521,2020-12-18 08:00:00,2020-12-15 07:52:00.749Z,0,0,19196.38,deribit
26,19750,211.1602,249.5529,231.4932,652.6769,758.257,754.3258,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
27,20000,172.7674,201.562,183.5926,806.248,1161.381,956.0358,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
28,20250,124.7765,153.571,142.2648,719.8643,,1164.318,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
29,20500,95.9819,124.7765,111.3482,950.2208,,1383.0116,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
30,20750,76.7855,105.5801,89.6807,1180.5774,1727.6742,1610.9545,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
31,21000,57.5891,86.3837,70.531,1410.9339,1958.0308,1841.4151,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
32,21250,47.991,67.1873,57.216,1622.0941,,2077.7104,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
33,21500,38.3928,57.5891,47.2296,1766.067,,2317.3344,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
34,22000,19.1964,38.3928,27.8346,,,2797.1598,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
35,22500,19.1964,28.7946,23.6722,,,3292.2181,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
36,23000,,19.1964,12.231,,,3779.9974,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit
37,23500,,19.1964,6.0874,,,4273.0743,2020-12-18 08:00:00,2020-12-15 07:52:00.750Z,0,0,19196.38,deribit

