,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,3000,16095.3848,16354.5234,16211.3658,,9.5977,,2020-12-25 08:00:00,2020-12-15 07:52:11.083Z,0,0,19195.45,deribit
1,4000,15097.2214,15221.9919,15216.601,,9.5977,,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
2,5000,14099.058,14358.1966,14221.8887,,9.5977,,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
3,6000,13081.6992,13388.8264,13227.1765,,9.5977,,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
4,7000,12054.7426,12429.0539,12232.4646,,9.5977,0.0004,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
5,8000,11142.9587,11277.3269,11237.9013,,9.5977,0.0092,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
6,9000,10173.5885,10288.7612,10243.148,,9.5977,0.1083,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
7,10000,9185.0228,9300.1955,9249.0988,,9.5977,0.7711,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
8,11000,8196.4572,8311.6299,8257.3872,,9.5977,3.7711,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
9,12000,7227.0869,7323.0642,7272.6938,9.5977,19.1955,13.791,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
10,13000,6238.5213,6334.4985,6281.6363,9.5977,28.7932,17.4458,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
11,14000,5259.5533,5355.5306,5302.7521,28.7932,38.3909,33.2738,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
12,15000,4242.1945,4405.3558,4327.2671,47.9886,57.5864,52.5013,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
13,16000,3301.6174,3445.5833,3366.1759,76.7818,95.9773,85.8419,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
14,17000,2332.2472,2533.7994,2428.3507,134.3682,153.5636,143.0092,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
15,18000,1506.8428,1593.2224,1554.8643,249.5409,268.7363,264.1536,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
16,18500,1113.3361,1247.7043,1209.5408,374.3113,412.7022,415.9537,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
17,19000,863.7953,911.7839,913.9134,575.8635,604.6567,617.8159,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
18,19500,643.0476,691.0362,669.9586,844.5998,892.5884,871.206,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
19,20000,489.484,527.8749,510.5999,1161.3247,1228.5088,1209.3951,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
20,20500,383.909,412.7022,398.9367,1055.7498,,1594.9901,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
21,21000,297.5295,335.9204,317.9755,1535.636,2149.8904,2011.4831,2020-12-25 08:00:00,2020-12-15 07:52:11.084Z,0,0,19195.45,deribit
22,21500,239.9431,268.7363,254.4781,1996.3268,2505.0062,2445.0298,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
23,22000,191.9545,220.7477,206.5924,2687.363,2984.8925,2894.8123,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
24,23000,124.7704,143.9659,134.3664,3349.606,3925.4695,3817.2986,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
25,24000,86.3795,105.575,95.868,3839.09,4933.2307,4773.5124,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
26,25000,47.9886,76.7818,61.5539,,5902.6009,5733.9105,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
27,26000,38.3909,57.5864,47.4275,5595.4737,11046.9815,6714.4838,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
28,27000,28.7932,47.9886,37.6308,,,7699.4119,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
29,28000,19.1955,38.3909,27.728,7140.7074,17621.4231,8684.2141,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
30,32000,9.5977,19.1955,13.8111,8570.7684,13091.2969,12649.1502,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit
31,36000,,9.5977,2.3639,9607.3227,17045.5596,16615.9251,2020-12-25 08:00:00,2020-12-15 07:52:11.085Z,0,0,19195.45,deribit

