,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,18250,,,,,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
1,18500,,,,,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
2,18750,518.2572,585.4387,67.1815,105.5709,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
3,19000,297.518,374.2968,105.5709,163.155,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
4,19250,182.3497,259.1286,211.1418,278.3233,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
5,19500,95.9736,172.7524,393.4916,441.4783,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
6,19750,47.9868,105.5709,595.036,643.0228,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
7,20000,,,,,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
8,20250,,,,,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit
9,20500,,,,,2020-12-16 08:00:00,2020-12-15 07:48:14,0,0,19194.71,bit

