,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,17250,,,1955.1898,,9.5976,0.955,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
1,17500,,,1707.1598,,19.1951,2.7931,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
2,17750,,,1461.8539,,19.1951,7.3552,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
3,18000,,,1222.0261,9.5976,28.7927,17.3956,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
4,18250,,,972.6645,9.5976,28.7927,17.902,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
5,18500,,,742.1849,28.7927,47.9878,37.2904,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
6,18750,,,519.4561,47.9878,76.7805,64.4296,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
7,19000,326.3172,355.1099,338.4338,105.5732,134.3659,133.2752,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
8,19250,182.3537,211.1464,197.9646,211.1464,259.1343,242.6742,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
9,19500,115.1708,124.7683,121.8052,316.7196,633.4393,416.3829,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
10,19750,57.5854,76.7805,67.9504,115.1708,,612.3961,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
11,20000,28.7927,57.5854,44.6989,,,839.0126,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
12,20250,19.1951,38.3903,27.8389,,,1072.0208,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
13,20500,9.5976,28.7927,17.6522,,,1311.7021,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
14,20750,,19.1951,8.451,,,1552.3689,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit
15,21000,,19.1951,3.7989,,,1797.585,2020-12-16 08:00:00,2020-12-15 07:51:50.899Z,0,0,19195.13,deribit

