strike,2020-11-28 08:00:00,2020-12-04 08:00:00,2020-12-11 08:00:00,2020-12-18 08:00:00
16500,1.226516143397087,0.9641293940779121,0.9034619514813643,0.8539362780192311
16750,1.1154431821155724,0.9102272644751364,0.8775981077384348,0.8353976150960948
17000,1.0390848043890815,0.8488520301436964,0.8594925213858792,0.8184208394852498
17250,0.9315630968193676,0.8046093829744851,0.8045976943305251,0.8027368782015254
17500,0.8904629523837492,0.7920989001033109,0.8003917391467891,0.7983966317548388
17750,0.8742781983197021,0.7846959993057765,0.7961590952532153,0.7949519607524038
18000,0.8679812169975822,0.7738278949559086,0.7919886635595836,0.787309424618471
18250,0.9051108877130734,0.768614654520757,0.7880181962220059,0.7858293662954199
18500,0.9069542223362876,0.7704325699323267,0.7778705515672438,0.7855445893066729
18750,0.9301996183398143,0.7711537882149635,0.7883158267763396,0.7866731776728325
19000,1.000680453008657,0.7829990892735074,0.793735479974732,0.7894946349228176
