,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0
0,12250,4479.6783,5727.4031,5168.7121,51.9885,69.318,56.5833,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
1,12500,4445.0193,5441.4661,4927.7124,60.6533,77.9828,64.9177,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
2,12750,4176.4119,5164.194,4687.2431,69.318,86.6476,73.7828,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
3,13000,3743.1742,4886.9218,4438.1397,69.318,77.9828,74.0136,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
4,13250,3491.8963,4618.3144,4207.2643,77.9828,103.9771,92.4727,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
5,13500,3275.2774,4358.3718,3970.1124,95.3123,121.3066,104.6552,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
6,13750,3032.6642,4098.4291,3732.5815,103.9771,129.9713,116.2283,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
7,14000,3491.8963,4029.1111,3500.294,121.3066,147.3008,133.5052,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
8,14250,3249.2831,3370.5897,3262.326,129.9713,155.9656,144.8716,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
9,14500,3023.9995,3223.2889,3029.9094,147.3008,173.2951,161.7892,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
10,14750,2807.3806,2972.011,2801.9908,173.2951,190.6246,183.205,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
11,15000,2564.7675,2746.7273,2571.7499,190.6246,216.6189,202.2985,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
12,15250,2339.4839,2504.1142,2347.9952,207.9541,242.6131,227.878,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
