,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0
0,14000,,,3636.9681,208.2,234.225,216.054,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
1,14250,,,3406.0443,225.55,251.575,233.8638,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
2,14500,,,3177.1443,242.9,277.6,253.6976,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
3,14750,,,2952.7852,268.925,303.625,278.0721,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
4,15000,,,2730.7627,294.95,329.65,304.7831,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
5,15250,,,2515.8321,320.975,364.35,338.5863,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
6,15500,,,2307.2315,364.35,399.05,378.7194,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
7,15750,,,2107.0395,407.725,451.1,427.2611,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
8,16000,,,1911.749,459.775,503.15,480.7043,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
9,16250,,,1727.7692,520.5,572.55,545.4581,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
10,16500,1552.825,1691.625,1554.2774,598.575,650.625,620.6999,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
11,16750,1405.35,1518.125,1402.3358,685.325,728.7,717.4921,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
12,17000,1257.875,1361.975,1261.179,772.075,832.8,825.0688,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
13,17250,1119.075,1162.45,1128.8993,867.5,936.9,941.5227,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
14,17500,988.95,1041,1003.109,988.95,1058.35,1064.4662,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
15,17750,876.175,928.225,899.9894,980.275,1474.75,1210.0804,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
16,18000,763.4,824.125,799.3882,1006.3,1552.825,1358.2128,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
17,18250,676.65,728.7,707.4702,1283.9,1648.25,1515.0285,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
18,18500,589.9,633.275,623.9457,1440.05,1821.75,1680.2378,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
19,18750,520.5,572.55,551.1869,1604.875,2203.45,1856.2127,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
20,19000,459.775,511.825,488.9414,607.25,,2042.7007,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
21,19250,416.4,459.775,435.8559,,,2238.349,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
22,19500,373.025,407.725,393.3016,390.375,,2444.5284,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
23,19750,338.325,373.025,356.195,,,2656.1554,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
24,20000,303.625,338.325,323.8122,,,2872.5063,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
25,20250,277.6,312.3,296.7941,,,3094.2219,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
26,20500,251.575,286.275,270.8017,,,3316.9633,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
27,20750,234.225,260.25,249.6844,,,3544.5795,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
28,21000,216.875,242.9,231.8295,,,3775.4582,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
29,21250,199.525,225.55,213.6498,,,4006.0123,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
30,21500,182.175,208.2,198.1164,,,4239.2124,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
31,21750,173.5,199.525,186.048,,,4475.8779,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
32,22000,156.15,182.175,172.24,,,4710.8035,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
33,22250,147.475,164.825,159.8846,,,4947.1818,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
34,22500,138.8,156.15,150.0268,,,5186.0576,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
35,22750,130.125,147.475,138.3689,,,5423.1334,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
36,23000,121.45,138.8,130.5263,,,5664.0244,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350
37,23250,112.775,130.125,123.8323,,,5906.0642,2020-12-11 08:00:00,2020-11-26 11:37:17.061Z,0,0,17350

